open,high,low,close,volume,quote_volume,trades,close_datetime
61920.18,61990.0,61916.08,61986.0,86.30714,5347269.9587415,12757,2024-07-02 19:29:59.999000+02:00
61986.0,62075.99,61922.0,62043.45,122.78631,7614540.9380639,14845,2024-07-02 19:44:59.999000+02:00
62043.45,62152.2,62030.0,62147.98,130.83949,8124742.2815798,10977,2024-07-02 19:59:59.999000+02:00
62147.99,62324.1,62141.81,62286.03,311.33691,19379830.0798805,18403,2024-07-02 20:14:59.999000+02:00
62286.03,62366.62,62269.33,62315.54,268.82039,16756461.1466775,27321,2024-07-02 20:29:59.999000+02:00
62315.53,62359.99,62263.4,62299.99,129.28483,8055072.1953826,17785,2024-07-02 20:44:59.999000+02:00
62300.0,62368.81,62300.0,62330.01,105.28669,6564073.9405024,8656,2024-07-02 20:59:59.999000+02:00
62330.01,62367.51,62168.0,62178.14,165.81443,10321362.8165592,15334,2024-07-02 21:14:59.999000+02:00
62178.14,62178.14,62008.0,62008.01,141.61642,8793488.9082587,15008,2024-07-02 21:29:59.999000+02:00
62008.01,62148.05,61996.02,62000.0,135.41137,8404824.9283024,13009,2024-07-02 21:44:59.999000+02:00
62000.01,62031.67,61884.01,61939.1,232.76844,14420751.8752205,23436,2024-07-02 21:59:59.999000+02:00
61939.1,62044.94,61875.55,62042.41,126.93893,7866022.6939873,11845,2024-07-02 22:14:59.999000+02:00
62042.41,62079.2,61988.0,62064.0,92.87577,5761045.9054236,8653,2024-07-02 22:29:59.999000+02:00
62064.0,62080.73,61963.61,62002.01,126.31311,7833799.6233506,7720,2024-07-02 22:44:59.999000+02:00
62002.0,62051.99,62002.0,62012.01,112.3405,6967923.4987259,6703,2024-07-02 22:59:59.999000+02:00
62012.01,62089.61,61903.41,61929.79,188.31343,11675330.8309569,22300,2024-07-02 23:14:59.999000+02:00
61929.79,62033.4,61929.79,62020.0,120.65441,7479725.2294995,7361,2024-07-02 23:29:59.999000+02:00
62020.01,62066.35,62000.0,62041.72,55.58575,3447917.7810599,6568,2024-07-02 23:44:59.999000+02:00
62041.73,62088.97,61958.02,61958.02,75.8905,4708234.0367966,9190,2024-07-02 23:59:59.999000+02:00
61958.03,62063.05,61958.02,62046.01,95.15566,5901379.1312054,13250,2024-07-03 00:14:59.999000+02:00
62046.01,62046.01,61978.0,62034.0,67.01656,4156360.7381552,10865,2024-07-03 00:29:59.999000+02:00
62034.01,62060.82,61983.78,62026.0,80.24092,4977348.8150538,7297,2024-07-03 00:44:59.999000+02:00
62026.0,62113.63,61994.5,62090.01,56.47995,3505103.5178005,9315,2024-07-03 00:59:59.999000+02:00
62090.01,62181.24,62078.53,62152.01,77.27197,4801286.6282553,8947,2024-07-03 01:14:59.999000+02:00
